Target,Model,Accuracy_Mean_CV,Accuracy_Std_CV,F1_Macro_Mean_CV,F1_Macro_Std_CV,Accuracy_Test,Precision_Yes,Recall_Yes,F1_Yes,Precision_No,Recall_No,F1_No,F1_Macro_Test
cardiovascular_condition_heart_disease_or_stroke,logistic_reg,0.7486,6e-4,0.8407,4e-4,0.7463,0.2641,0.8281,0.4004,0.9741,0.737,0.8391,0.6198
cardiovascular_condition_heart_disease_or_stroke,decision_tree,0.6929,0.0331,0.7953,0.0277,0.6131,0.1973,0.907,0.3242,0.9821,0.5796,0.729,0.5266
